dataset,model,set,alpha,beta,gamma
GDSC2,dGBDT,median,3.6626274526469835,-0.6965179619219166,0.05722226952564836
GDSC2,dGBDT,ci_lwr,0.49279299806582677,-0.4733163343832214,0.055780045292041135
GDSC2,dGBDT,ci_upr,124.60886913030265,-1.067696839765432,0.05857616548426315
GDSC2,hGBDT,median,0.38125399053269593,-0.3148388548783272,0.04082214918975355
GDSC2,hGBDT,ci_lwr,0.8137966007901832,-0.40794455236811655,0.043000582312643455
GDSC2,hGBDT,ci_upr,3.647423657186061,-0.5804928884510764,0.04710355552098944
GDSC2,sNN,median,0.1856204661582352,-0.15068129531596708,0.01722756486402899
GDSC2,sNN,ci_lwr,0.3873549918754585,-0.28140495325886417,0.03462268725985589
GDSC2,sNN,ci_upr,0.4317552545610688,-0.2944277058963882,0.036131221776771465
GDSC2,mNN,median,0.23550064684950833,-0.20050772539538753,0.02632320511300063
GDSC2,mNN,ci_lwr,0.5975100628422669,-0.33521279760444234,0.03664993648506095
GDSC2,mNN,ci_upr,2.705721092856596,-0.5099787965542739,0.04282189834039205
