dataset,model,set,alpha,beta,gamma
NCI-60,dGBDT,median,11175.865780575314,-1.4489937648313802,0.055395907532533775
NCI-60,dGBDT,ci_lwr,7099.429440872799,-1.3947315896369328,0.05501312722456608
NCI-60,dGBDT,ci_upr,187.70733618439792,-1.0870585015817626,0.055595654243531765
NCI-60,hGBDT,median,11.02876629479664,-0.5940193568511127,0.028816177372077915
NCI-60,hGBDT,ci_lwr,8.063227306712346,-0.565326957946955,0.02833328312234137
NCI-60,hGBDT,ci_upr,10.973216208335316,-0.5933202416970969,0.029068115817893037
NCI-60,sNN,median,1.6842424413159136,-0.3871157168618943,0.023963943824607918
NCI-60,sNN,ci_lwr,1.5118579204665366,-0.37766866390967446,0.02353086197220324
NCI-60,sNN,ci_upr,1.5815500705151764,-0.3793370582988218,0.02389267733370261
NCI-60,mNN,median,7.333346688577905,-0.546674817301137,0.02728884569268975
NCI-60,mNN,ci_lwr,4.1391028936298735,-0.49115185594700667,0.02598364572877857
NCI-60,mNN,ci_upr,26.591745209229508,-0.6649341834188929,0.02881059815319116
