tr_size,set,metric,score,split
109096,te,r2,0.8043770191618649,run_0
109096,te,mean_absolute_error,0.045403554341680134,run_0
109096,te,median_absolute_error,0.03197066902855855,run_0
109096,te,mse,0.004229656718439659,run_0
109096,te,rmse,0.06503581104622022,run_0
109096,te,spearmanr,0.8677736835986476,run_0
109096,te,pearsonr,0.8971102428927389,run_0
109096,te,y_avg_true,0.8352475015713389,run_0
109096,te,y_avg_pred,0.8353827939074981,run_0
109096,te,mcc,0.6653950468671148,run_0
127520,te,r2,0.8087295380131966,run_0
127520,te,mean_absolute_error,0.044891578364547775,run_0
127520,te,median_absolute_error,0.031667212480503186,run_0
127520,te,mse,0.0041355488558419435,run_0
127520,te,rmse,0.06430823318862014,run_0
127520,te,spearmanr,0.8705079829672673,run_0
127520,te,pearsonr,0.8995340723998906,run_0
127520,te,y_avg_true,0.8352475015713389,run_0
127520,te,y_avg_pred,0.8353384429394921,run_0
127520,te,mcc,0.670426058439506,run_0
149056,te,r2,0.8083663604691607,run_0
149056,te,mean_absolute_error,0.044934320572324785,run_0
149056,te,median_absolute_error,0.03165734651723395,run_0
149056,te,mse,0.004143401288784826,run_0
149056,te,rmse,0.06436925732665265,run_0
149056,te,spearmanr,0.8698053607848358,run_0
149056,te,pearsonr,0.8995244134947669,run_0
149056,te,y_avg_true,0.8352475015713389,run_0
149056,te,y_avg_pred,0.8358526497081751,run_0
149056,te,mcc,0.6721661894333724,run_0
174228,te,r2,0.8182267671355823,run_0
174228,te,mean_absolute_error,0.04368256574581028,run_0
174228,te,median_absolute_error,0.030787462199735993,run_0
174228,te,mse,0.003930204786387765,run_0
174228,te,rmse,0.0626913453866462,run_0
174228,te,spearmanr,0.8756262679982822,run_0
174228,te,pearsonr,0.9048149984122712,run_0
174228,te,y_avg_true,0.8352475015713389,run_0
174228,te,y_avg_pred,0.8355508952722487,run_0
174228,te,mcc,0.6908479018324003,run_0
203650,te,r2,0.8227302149848915,run_0
203650,te,mean_absolute_error,0.04324526947142802,run_0
203650,te,median_absolute_error,0.030347508246465593,run_0
