tr_size,set,metric,score,split
109096,te,mean_absolute_error,0.045403554341680134,run_0
127520,te,mean_absolute_error,0.044891578364547775,run_0
149056,te,mean_absolute_error,0.044934320572324785,run_0
174228,te,mean_absolute_error,0.04368256574581028,run_0
203650,te,mean_absolute_error,0.04324526947142802,run_0
50000,te,mean_absolute_error,0.04796559093882834,run_0
58443,te,mean_absolute_error,0.047557799599587565,run_0
68313,te,mean_absolute_error,0.04711546398684175,run_0
79850,te,mean_absolute_error,0.04635181263740619,run_0
93334,te,mean_absolute_error,0.045850919531777216,run_0
109096,te,mean_absolute_error,0.0454898226471891,run_1
127520,te,mean_absolute_error,0.04535865289993411,run_1
149056,te,mean_absolute_error,0.04419838551498356,run_1
174228,te,mean_absolute_error,0.043588661346784116,run_1
203650,te,mean_absolute_error,0.043107993846159334,run_1
50000,te,mean_absolute_error,0.04766408529110528,run_1
58443,te,mean_absolute_error,0.0472365958386328,run_1
68313,te,mean_absolute_error,0.04697998538131107,run_1
79850,te,mean_absolute_error,0.04623161061356928,run_1
93334,te,mean_absolute_error,0.04598248276619184,run_1
109096,te,mean_absolute_error,0.044907241375110686,run_10
127520,te,mean_absolute_error,0.04433860077378169,run_10
149056,te,mean_absolute_error,0.043983655427280506,run_10
174228,te,mean_absolute_error,0.04284504443306183,run_10
203650,te,mean_absolute_error,0.042687189999120516,run_10
50000,te,mean_absolute_error,0.047141454719765434,run_10
58443,te,mean_absolute_error,0.04676054728070357,run_10
68313,te,mean_absolute_error,0.046372015252182916,run_10
79850,te,mean_absolute_error,0.04605263944074251,run_10
93334,te,mean_absolute_error,0.04542562450873038,run_10
109096,te,mean_absolute_error,0.04503205840135194,run_11
127520,te,mean_absolute_error,0.04473655508695532,run_11
149056,te,mean_absolute_error,0.043431252497268966,run_11
174228,te,mean_absolute_error,0.04316816431680954,run_11
203650,te,mean_absolute_error,0.04231169464934191,run_11
50000,te,mean_absolute_error,0.047105712576814535,run_11
58443,te,mean_absolute_error,0.04676005596240546,run_11
68313,te,mean_absolute_error,0.04625412054323687,run_11
79850,te,mean_absolute_error,0.04580255650449784,run_11
93334,te,mean_absolute_error,0.04518801599915345,run_11
109096,te,mean_absolute_error,0.04477485495763938,run_12
127520,te,mean_absolute_error,0.04427744249023685,run_12
149056,te,mean_absolute_error,0.04347445280245661,run_12
174228,te,mean_absolute_error,0.04311625252299058,run_12
203650,te,mean_absolute_error,0.042638000794335454,run_12
50000,te,mean_absolute_error,0.04706255496099981,run_12
58443,te,mean_absolute_error,0.04667234085314122,run_12
68313,te,mean_absolute_error,0.046002222802604964,run_12
79850,te,mean_absolute_error,0.04583321338598517,run_12
93334,te,mean_absolute_error,0.04520443052104211,run_12
109096,te,mean_absolute_error,0.04502817345118018,run_13
127520,te,mean_absolute_error,0.044532634319778656,run_13
149056,te,mean_absolute_error,0.04427370453630783,run_13
174228,te,mean_absolute_error,0.0433571818441233,run_13
203650,te,mean_absolute_error,0.04291517844929831,run_13
50000,te,mean_absolute_error,0.04762833569865282,run_13
58443,te,mean_absolute_error,0.04711713286755805,run_13
68313,te,mean_absolute_error,0.04690530030855545,run_13
79850,te,mean_absolute_error,0.04607187206980004,run_13
93334,te,mean_absolute_error,0.045836638079325705,run_13
109096,te,mean_absolute_error,0.04526643267396082,run_14
127520,te,mean_absolute_error,0.04474246948637236,run_14
149056,te,mean_absolute_error,0.04378893823959601,run_14
174228,te,mean_absolute_error,0.0434781687884768,run_14
203650,te,mean_absolute_error,0.04236881742407539,run_14
50000,te,mean_absolute_error,0.04769572683610999,run_14
58443,te,mean_absolute_error,0.047163075432474916,run_14
68313,te,mean_absolute_error,0.04668193169255674,run_14
79850,te,mean_absolute_error,0.04633808999941885,run_14
93334,te,mean_absolute_error,0.04580445709756474,run_14
109096,te,mean_absolute_error,0.04528480230265282,run_15
127520,te,mean_absolute_error,0.0448670061074553,run_15
149056,te,mean_absolute_error,0.044856579984464816,run_15
174228,te,mean_absolute_error,0.04347244563075465,run_15
203650,te,mean_absolute_error,0.042710376393711724,run_15
50000,te,mean_absolute_error,0.04749777737144602,run_15
