tr_size,set,metric,score,cnt,split,trial,exp
127520,te,mean_absolute_error,0.0389490997119867,0,0,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,median_absolute_error,0.02610236988067627,0,0,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,mse,0.003296488258303728,0,0,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,pearsonr,0.9211074492437568,0,0,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,r2,0.8475363599660677,0,0,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,rmse,0.05741505254115621,0,0,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,spearmanr,0.8945295737221246,0,0,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,y_avg_pred,0.8382183313369751,0,0,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,y_avg_true,0.8352475015713389,0,0,1,lc.ctrp.nn_reg1.ls_hpo
127520,te,mcc,0.7338973205692805,0,0,1,lc.ctrp.nn_reg1.ls_hpo
203650,te,mean_absolute_error,0.03543237121499873,0,0,1,lc.ctrp.nn_reg1.ls_hpo
203650,te,median_absolute_error,0.023839612960815437,0,0,1,lc.ctrp.nn_reg1.ls_hpo
203650,te,mse,0.002731713957583467,0,0,1,lc.ctrp.nn_reg1.ls_hpo
203650,te,pearsonr,0.9349180616775908,0,0,1,lc.ctrp.nn_reg1.ls_hpo
203650,te,r2,0.8736573526523083,0,0,1,lc.ctrp.nn_reg1.ls_hpo
203650,te,rmse,0.052265801032639565,0,0,1,lc.ctrp.nn_reg1.ls_hpo
203650,te,spearmanr,0.9099604593648,0,0,1,lc.ctrp.nn_reg1.ls_hpo
203650,te,y_avg_pred,0.8368878364562988,0,0,1,lc.ctrp.nn_reg1.ls_hpo
203650,te,y_avg_true,0.8352475015713389,0,0,1,lc.ctrp.nn_reg1.ls_hpo
203650,te,mcc,0.7636327797688677,0,0,1,lc.ctrp.nn_reg1.ls_hpo
79850,te,mean_absolute_error,0.043846097340385616,0,0,1,lc.ctrp.nn_reg1.ls_hpo
79850,te,median_absolute_error,0.03045622887611393,0,0,1,lc.ctrp.nn_reg1.ls_hpo
79850,te,mse,0.004025123487882405,0,0,1,lc.ctrp.nn_reg1.ls_hpo
79850,te,pearsonr,0.9025067208270788,0,0,1,lc.ctrp.nn_reg1.ls_hpo
79850,te,r2,0.8138367467250095,0,0,1,lc.ctrp.nn_reg1.ls_hpo
79850,te,rmse,0.06344386091563474,0,0,1,lc.ctrp.nn_reg1.ls_hpo
79850,te,spearmanr,0.8710462971635026,0,0,1,lc.ctrp.nn_reg1.ls_hpo
79850,te,y_avg_pred,0.8386161327362059,0,0,1,lc.ctrp.nn_reg1.ls_hpo
79850,te,y_avg_true,0.8352475015713389,0,0,1,lc.ctrp.nn_reg1.ls_hpo
79850,te,mcc,0.6944941678624225,0,0,1,lc.ctrp.nn_reg1.ls_hpo
109096,te,mean_absolute_error,0.040059036605800936,20,0,1,lc.ctrp.nn_reg1.ls_hpo
109096,te,median_absolute_error,0.026973393392562883,20,0,1,lc.ctrp.nn_reg1.ls_hpo
109096,te,mse,0.0034622041157188863,20,0,1,lc.ctrp.nn_reg1.ls_hpo
109096,te,pearsonr,0.9168719156006244,20,0,1,lc.ctrp.nn_reg1.ls_hpo
109096,te,r2,0.8398719483701167,20,0,1,lc.ctrp.nn_reg1.ls_hpo
109096,te,rmse,0.058840497242281076,20,0,1,lc.ctrp.nn_reg1.ls_hpo
109096,te,spearmanr,0.8878325174406387,20,0,1,lc.ctrp.nn_reg1.ls_hpo
109096,te,y_avg_pred,0.8377556800842285,20,0,1,lc.ctrp.nn_reg1.ls_hpo
109096,te,y_avg_true,0.8352475015713389,20,0,1,lc.ctrp.nn_reg1.ls_hpo
109096,te,mcc,0.7236894344671938,20,0,1,lc.ctrp.nn_reg1.ls_hpo
174228,te,mean_absolute_error,0.036565481521783946,20,0,1,lc.ctrp.nn_reg1.ls_hpo
174228,te,median_absolute_error,0.02468376708030701,20,0,1,lc.ctrp.nn_reg1.ls_hpo
174228,te,mse,0.002919690949821166,20,0,1,lc.ctrp.nn_reg1.ls_hpo
174228,te,pearsonr,0.9302341216672894,20,0,1,lc.ctrp.nn_reg1.ls_hpo
174228,te,r2,0.8649633564255669,20,0,1,lc.ctrp.nn_reg1.ls_hpo
