tr_size,set,metric,score,cnt,split,trial,exp
149056,te,mean_absolute_error,0.040427708969971866,100,0,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,median_absolute_error,0.027372607851028463,100,0,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,mse,0.003534495274247553,100,0,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,pearsonr,0.9147092454700478,100,0,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,r2,0.8365284590845756,100,0,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,rmse,0.059451621292001385,100,0,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,spearmanr,0.8838957993514022,100,0,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,y_avg_pred,0.8365975618362427,100,0,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,y_avg_true,0.8352475015713389,100,0,1,lc.ctrp.nn_reg0.ls_hpo
149056,te,mcc,0.7372268401117935,100,0,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,mean_absolute_error,0.04665126158571483,100,0,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,median_absolute_error,0.031592438316345166,100,0,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,mse,0.004665512059327145,100,0,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,pearsonr,0.8867016947087663,100,0,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,r2,0.7842185697475385,100,0,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,rmse,0.06830455372321192,100,0,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,spearmanr,0.8566893553170808,100,0,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,y_avg_pred,0.8382964134216309,100,0,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,y_avg_true,0.8352475015713389,100,0,1,lc.ctrp.nn_reg0.ls_hpo
50000,te,mcc,0.6799995794506731,100,0,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,mean_absolute_error,0.045997872439676825,100,0,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,median_absolute_error,0.031217715358734133,100,0,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,mse,0.004516861079887397,100,0,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,pearsonr,0.8902650546180064,100,0,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,r2,0.7910937252597426,100,0,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,rmse,0.06720759689118036,100,0,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,spearmanr,0.8598914815921916,100,0,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,y_avg_pred,0.8381061553955078,100,0,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,y_avg_true,0.8352475015713389,100,0,1,lc.ctrp.nn_reg0.ls_hpo
58443,te,mcc,0.6829707992307648,100,0,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,mean_absolute_error,0.044884443954373215,100,0,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,median_absolute_error,0.031368884277343745,100,0,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,mse,0.00422949985023476,100,0,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,pearsonr,0.8973113701177444,100,0,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,r2,0.8043842743666921,100,0,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,rmse,0.06503460502097909,100,0,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,spearmanr,0.868924892732907,100,0,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,y_avg_pred,0.8338425159454346,100,0,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,y_avg_true,0.8352475015713389,100,0,1,lc.ctrp.nn_reg0.ls_hpo
93334,te,mcc,0.6927958102894638,100,0,1,lc.ctrp.nn_reg0.ls_hpo
127520,te,mean_absolute_error,0.04174856355313344,60,0,1,lc.ctrp.nn_reg0.ls_hpo
