tr_size,set,metric,score,split
115863,te,r2,0.7378732527928304,run_0
115863,te,mean_absolute_error,0.06125927324288692,run_0
115863,te,median_absolute_error,0.045327116984751004,run_0
115863,te,mse,0.0071217091252824315,run_0
115863,te,rmse,0.08439021936979682,run_0
115863,te,spearmanr,0.8159499021195408,run_0
115863,te,pearsonr,0.8592413499424261,run_0
115863,te,y_avg_true,0.7811119795622454,run_0
115863,te,y_avg_pred,0.7808637146338837,run_0
115863,te,mcc,0.6708290754824704,run_0
20000,te,r2,0.6792896489240013,run_0
20000,te,mean_absolute_error,0.06756818991929768,run_0
20000,te,median_absolute_error,0.0494499676386212,run_0
20000,te,mse,0.008713364271923487,run_0
20000,te,rmse,0.09334540305726624,run_0
20000,te,spearmanr,0.7861469393493562,run_0
20000,te,pearsonr,0.8242326738218275,run_0
20000,te,y_avg_true,0.7811119795622454,run_0
20000,te,y_avg_pred,0.7797368589512041,run_0
20000,te,mcc,0.5891038125249306,run_0
24310,te,r2,0.6842998527795656,run_0
24310,te,mean_absolute_error,0.06702498454745565,run_0
24310,te,median_absolute_error,0.049114123701863736,run_0
24310,te,mse,0.008577242281711264,run_0
24310,te,rmse,0.09261340227910464,run_0
24310,te,spearmanr,0.7884459598217458,run_0
24310,te,pearsonr,0.8272764254741274,run_0
24310,te,y_avg_true,0.7811119795622454,run_0
24310,te,y_avg_pred,0.7797319251049041,run_0
24310,te,mcc,0.6061701872022373,run_0
29550,te,r2,0.6931114708429194,run_0
29550,te,mean_absolute_error,0.06605883239538715,run_0
29550,te,median_absolute_error,0.04839430452020999,run_0
29550,te,mse,0.008337839849724065,run_0
29550,te,rmse,0.09131177278820113,run_0
29550,te,spearmanr,0.7948378239607107,run_0
29550,te,pearsonr,0.8326087031075436,run_0
29550,te,y_avg_true,0.7811119795622454,run_0
29550,te,y_avg_pred,0.7805135578944593,run_0
29550,te,mcc,0.6098721501339297,run_0
35919,te,r2,0.7012619830285893,run_0
35919,te,mean_absolute_error,0.06525113228883063,run_0
35919,te,median_absolute_error,0.04787201338163216,run_0
35919,te,mse,0.008116398971878293,run_0
35919,te,rmse,0.09009105933375572,run_0
35919,te,spearmanr,0.7981405341466726,run_0
35919,te,pearsonr,0.8374580857684328,run_0
35919,te,y_avg_true,0.7811119795622454,run_0
35919,te,y_avg_pred,0.7801826672147967,run_0
35919,te,mcc,0.6141991851669172,run_0
43661,te,r2,0.7088818048176477,run_0
43661,te,mean_absolute_error,0.0643829354048077,run_0
43661,te,median_absolute_error,0.04735871853947893,run_0
43661,te,mse,0.007909376396172679,run_0
43661,te,rmse,0.08893467488090727,run_0
43661,te,spearmanr,0.8023887963186149,run_0
43661,te,pearsonr,0.8419906246387248,run_0
43661,te,y_avg_true,0.7811119795622454,run_0
43661,te,y_avg_pred,0.7798772151895269,run_0
43661,te,mcc,0.6333765793596309,run_0
53072,te,r2,0.7128049934779378,run_0
53072,te,mean_absolute_error,0.0640375234127734,run_0
53072,te,median_absolute_error,0.04699696149738297,run_0
53072,te,mse,0.0078027874700906325,run_0
53072,te,rmse,0.08833338819546452,run_0
53072,te,spearmanr,0.8041130803251759,run_0
53072,te,pearsonr,0.8444025341992089,run_0
53072,te,y_avg_true,0.7811119795622454,run_0
53072,te,y_avg_pred,0.7802431527910417,run_0
53072,te,mcc,0.6312811577220967,run_0
64511,te,r2,0.7189531607346842,run_0
64511,te,mean_absolute_error,0.06313610667658663,run_0
64511,te,median_absolute_error,0.04559219417799387,run_0
64511,te,mse,0.007635748206365562,run_0
64511,te,rmse,0.0873827683606188,run_0
64511,te,spearmanr,0.8079377216415194,run_0
64511,te,pearsonr,0.8479910077791634,run_0
64511,te,y_avg_true,0.7811119795622454,run_0
64511,te,y_avg_pred,0.7803862218658338,run_0
64511,te,mcc,0.6375627165347493,run_0
78416,te,r2,0.72578189178745,run_0
78416,te,mean_absolute_error,0.062391468473003385,run_0
78416,te,median_absolute_error,0.045751348135959165,run_0
78416,te,mse,0.00745021873724143,run_0
78416,te,rmse,0.08631464960967768,run_0
78416,te,spearmanr,0.8108602826144359,run_0
78416,te,pearsonr,0.8519970013081548,run_0
78416,te,y_avg_true,0.7811119795622454,run_0
78416,te,y_avg_pred,0.7804971890877735,run_0
78416,te,mcc,0.6506734306665316,run_0
95318,te,r2,0.7320527456708387,run_0
95318,te,mean_absolute_error,0.0617951538852213,run_0
95318,te,median_absolute_error,0.04534969757280494,run_0
95318,te,mse,0.00727984620639342,run_0
95318,te,rmse,0.08532201478161085,run_0
95318,te,spearmanr,0.8137280002782306,run_0
95318,te,pearsonr,0.8557424207211659,run_0
95318,te,y_avg_true,0.7811119795622454,run_0
95318,te,y_avg_pred,0.7807506201212728,run_0
95318,te,mcc,0.6643280909289344,run_0
115863,te,r2,0.7333747793981058,run_1
115863,te,mean_absolute_error,0.06105230571569045,run_1
115863,te,median_absolute_error,0.044467551148783084,run_1
115863,te,mse,0.007168681037507023,run_1
115863,te,rmse,0.08466806385826373,run_1
115863,te,spearmanr,0.8166253218342906,run_1
115863,te,pearsonr,0.8564109247643377,run_1
115863,te,y_avg_true,0.7807141752399365,run_1
115863,te,y_avg_pred,0.7807145325078616,run_1
115863,te,mcc,0.6458763043712389,run_1
20000,te,r2,0.6730504037704959,run_1
20000,te,mean_absolute_error,0.06779832182813025,run_1
20000,te,median_absolute_error,0.04939145360079733,run_1
20000,te,mse,0.008790606400324806,run_1
20000,te,rmse,0.09375823377349216,run_1
20000,te,spearmanr,0.7839973804586957,run_1
20000,te,pearsonr,0.8204092635092209,run_1
20000,te,y_avg_true,0.7807141752399365,run_1
20000,te,y_avg_pred,0.7811848799082819,run_1
20000,te,mcc,0.5667379990974768,run_1
24310,te,r2,0.6816518565215899,run_1
24310,te,mean_absolute_error,0.06698109151384436,run_1
24310,te,median_absolute_error,0.04894167759233381,run_1
24310,te,mse,0.008559341439371065,run_1
24310,te,rmse,0.09251670897395273,run_1
24310,te,spearmanr,0.7887708182883768,run_1
24310,te,pearsonr,0.8256365696605781,run_1
24310,te,y_avg_true,0.7807141752399365,run_1
24310,te,y_avg_pred,0.7814827941797394,run_1
24310,te,mcc,0.5814042557329413,run_1
29550,te,r2,0.6900618476219882,run_1
29550,te,mean_absolute_error,0.06589845712977517,run_1
29550,te,median_absolute_error,0.04775903339957677,run_1
29550,te,mse,0.00833322425664195,run_1
29550,te,rmse,0.09128649547792897,run_1
29550,te,spearmanr,0.7932228392703705,run_1
29550,te,pearsonr,0.8307100096323548,run_1
29550,te,y_avg_true,0.7807141752399365,run_1
29550,te,y_avg_pred,0.781330550418085,run_1
29550,te,mcc,0.5819196030704614,run_1
35919,te,r2,0.6935693929839695,run_1
35919,te,mean_absolute_error,0.06553716045946116,run_1
35919,te,median_absolute_error,0.04789137028735235,run_1
35919,te,mse,0.008238917822059853,run_1
35919,te,rmse,0.09076848474035387,run_1
35919,te,spearmanr,0.7952520298163649,run_1
35919,te,pearsonr,0.8328598710282229,run_1
35919,te,y_avg_true,0.7807141752399365,run_1
35919,te,y_avg_pred,0.7814329035017269,run_1
35919,te,mcc,0.5811475407964122,run_1
43661,te,r2,0.7020400182890341,run_1
43661,te,mean_absolute_error,0.06464456659335932,run_1
43661,te,median_absolute_error,0.046880533697436055,run_1
43661,te,mse,0.008011170383677376,run_1
43661,te,rmse,0.08950514166056259,run_1
43661,te,spearmanr,0.7999741999872754,run_1
43661,te,pearsonr,0.8379766125436693,run_1
43661,te,y_avg_true,0.7807141752399365,run_1
43661,te,y_avg_pred,0.7809421537765604,run_1
43661,te,mcc,0.6033949732766493,run_1
53072,te,r2,0.707817667732443,run_1
53072,te,mean_absolute_error,0.06385975386543577,run_1
