tr_size,set,metric,score,split
115863,te,mean_absolute_error,0.06125927324288692,run_0
20000,te,mean_absolute_error,0.06756818991929768,run_0
24310,te,mean_absolute_error,0.06702498454745565,run_0
29550,te,mean_absolute_error,0.06605883239538715,run_0
35919,te,mean_absolute_error,0.06525113228883063,run_0
43661,te,mean_absolute_error,0.0643829354048077,run_0
53072,te,mean_absolute_error,0.0640375234127734,run_0
64511,te,mean_absolute_error,0.06313610667658663,run_0
78416,te,mean_absolute_error,0.062391468473003385,run_0
95318,te,mean_absolute_error,0.0617951538852213,run_0
115863,te,mean_absolute_error,0.06105230571569045,run_1
20000,te,mean_absolute_error,0.06779832182813025,run_1
24310,te,mean_absolute_error,0.06698109151384436,run_1
29550,te,mean_absolute_error,0.06589845712977517,run_1
35919,te,mean_absolute_error,0.06553716045946116,run_1
43661,te,mean_absolute_error,0.06464456659335932,run_1
53072,te,mean_absolute_error,0.06385975386543577,run_1
64511,te,mean_absolute_error,0.06318258273725229,run_1
78416,te,mean_absolute_error,0.0623759212999729,run_1
95318,te,mean_absolute_error,0.06152948304942525,run_1
115863,te,mean_absolute_error,0.06016829993427901,run_10
20000,te,mean_absolute_error,0.0680638296368962,run_10
24310,te,mean_absolute_error,0.0674041676447376,run_10
29550,te,mean_absolute_error,0.06654605391377452,run_10
35919,te,mean_absolute_error,0.06567602741037923,run_10
43661,te,mean_absolute_error,0.06480216465106059,run_10
53072,te,mean_absolute_error,0.064207677538393,run_10
64511,te,mean_absolute_error,0.06304943445263604,run_10
78416,te,mean_absolute_error,0.06269125295042749,run_10
95318,te,mean_absolute_error,0.06157306178527897,run_10
115863,te,mean_absolute_error,0.0608886858717183,run_11
20000,te,mean_absolute_error,0.06774075520661772,run_11
24310,te,mean_absolute_error,0.06695825687434538,run_11
29550,te,mean_absolute_error,0.0663535017044798,run_11
35919,te,mean_absolute_error,0.06514335239502538,run_11
43661,te,mean_absolute_error,0.06450660955709761,run_11
53072,te,mean_absolute_error,0.06402773875922732,run_11
64511,te,mean_absolute_error,0.06320905016177257,run_11
78416,te,mean_absolute_error,0.06257760672173218,run_11
95318,te,mean_absolute_error,0.061971980469273276,run_11
115863,te,mean_absolute_error,0.06048333623792281,run_12
20000,te,mean_absolute_error,0.0679775258605376,run_12
24310,te,mean_absolute_error,0.06683907932587167,run_12
29550,te,mean_absolute_error,0.06624771630109505,run_12
35919,te,mean_absolute_error,0.0654449856395402,run_12
43661,te,mean_absolute_error,0.06487494163670877,run_12
53072,te,mean_absolute_error,0.06400436645048023,run_12
64511,te,mean_absolute_error,0.06306704233354267,run_12
78416,te,mean_absolute_error,0.06219248443685602,run_12
95318,te,mean_absolute_error,0.06162286116344407,run_12
115863,te,mean_absolute_error,0.061807783296336474,run_13
20000,te,mean_absolute_error,0.06871103713801502,run_13
24310,te,mean_absolute_error,0.06792666131656673,run_13
29550,te,mean_absolute_error,0.06719549750966541,run_13
35919,te,mean_absolute_error,0.06650581087109211,run_13
43661,te,mean_absolute_error,0.0656814707739474,run_13
53072,te,mean_absolute_error,0.06491689300204705,run_13
64511,te,mean_absolute_error,0.064369024067571,run_13
78416,te,mean_absolute_error,0.06329944812846625,run_13
95318,te,mean_absolute_error,0.06260584555888482,run_13
115863,te,mean_absolute_error,0.06150790431189545,run_14
20000,te,mean_absolute_error,0.06811540939901338,run_14
24310,te,mean_absolute_error,0.06726696240119473,run_14
29550,te,mean_absolute_error,0.06619704420253902,run_14
35919,te,mean_absolute_error,0.06591410411605995,run_14
43661,te,mean_absolute_error,0.06533039379524562,run_14
53072,te,mean_absolute_error,0.06450679313391125,run_14
