tr_size,set,metric,score,split
10,te,mean_absolute_error,0.23110575891511,run_0
12,te,mean_absolute_error,0.19902771062831898,run_0
12461,te,mean_absolute_error,0.06207236059999883,run_0
125,te,mean_absolute_error,0.10545240248446992,run_0
1250,te,mean_absolute_error,0.07542238611438355,run_0
15,te,mean_absolute_error,0.1795565952336566,run_0
15683,te,mean_absolute_error,0.06125848499382355,run_0
157,te,mean_absolute_error,0.09604920232565793,run_0
1573,te,mean_absolute_error,0.07201228287732456,run_0
19,te,mean_absolute_error,0.15896661070967585,run_0
19737,te,mean_absolute_error,0.06056742496849639,run_0
198,te,mean_absolute_error,0.08967688111125623,run_0
1980,te,mean_absolute_error,0.07041937583722341,run_0
24840,te,mean_absolute_error,0.06018019986183405,run_0
2492,te,mean_absolute_error,0.06898674489052138,run_0
25,te,mean_absolute_error,0.1677243009814216,run_0
250,te,mean_absolute_error,0.08689578454265706,run_0
31,te,mean_absolute_error,0.1501197899861566,run_0
31261,te,mean_absolute_error,0.05973181240520254,run_0
3136,te,mean_absolute_error,0.06772133986199469,run_0
314,te,mean_absolute_error,0.08478278401539885,run_0
39,te,mean_absolute_error,0.13417364107166765,run_0
39343,te,mean_absolute_error,0.05933711443165955,run_0
3947,te,mean_absolute_error,0.06635714127510355,run_0
396,te,mean_absolute_error,0.08542879306203273,run_0
49514,te,mean_absolute_error,0.059098230552104315,run_0
4967,te,mean_absolute_error,0.06532914480393495,run_0
498,te,mean_absolute_error,0.08447170406044284,run_0
50,te,mean_absolute_error,0.1135954238065504,run_0
62,te,mean_absolute_error,0.1176504882835513,run_0
62314,te,mean_absolute_error,0.05889326765758856,run_0
6251,te,mean_absolute_error,0.06424248779452843,run_0
627,te,mean_absolute_error,0.0822534904401555,run_0
78423,te,mean_absolute_error,0.05879756236963559,run_0
7868,te,mean_absolute_error,0.06342708941024737,run_0
789,te,mean_absolute_error,0.0779792512147542,run_0
79,te,mean_absolute_error,0.10756151455142733,run_0
99,te,mean_absolute_error,0.11069517816358067,run_0
9902,te,mean_absolute_error,0.06284860095829373,run_0
993,te,mean_absolute_error,0.0763354560728587,run_0
10,te,mean_absolute_error,0.4113182702482933,run_1
12,te,mean_absolute_error,0.41233478051056777,run_1
12461,te,mean_absolute_error,0.06148263775205556,run_1
125,te,mean_absolute_error,0.12808155772071114,run_1
1250,te,mean_absolute_error,0.07491263015925184,run_1
15,te,mean_absolute_error,0.4083035896240143,run_1
15683,te,mean_absolute_error,0.060705528504599926,run_1
157,te,mean_absolute_error,0.1182125696842856,run_1
1573,te,mean_absolute_error,0.07253538005018009,run_1
19,te,mean_absolute_error,0.42763578988769096,run_1
19737,te,mean_absolute_error,0.060506911924464,run_1
198,te,mean_absolute_error,0.11461249803107652,run_1
1980,te,mean_absolute_error,0.07065443587627007,run_1
24840,te,mean_absolute_error,0.06016896023342117,run_1
2492,te,mean_absolute_error,0.06914117663986165,run_1
25,te,mean_absolute_error,0.4125551176282735,run_1
250,te,mean_absolute_error,0.1041123968924518,run_1
31,te,mean_absolute_error,0.4090221057014341,run_1
31261,te,mean_absolute_error,0.05995809373715121,run_1
3136,te,mean_absolute_error,0.06726743256847824,run_1
314,te,mean_absolute_error,0.10018260442638896,run_1
39,te,mean_absolute_error,0.4087386978956455,run_1
39343,te,mean_absolute_error,0.05921344998723947,run_1
3947,te,mean_absolute_error,0.06669244787335739,run_1
