tr_size,set,metric,score,cnt,split,trial,exp
23279,te,mean_absolute_error,0.056869420387904684,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
23279,te,median_absolute_error,0.04120163402557375,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
23279,te,mse,0.006422827411466212,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
23279,te,pearsonr,0.8654634636273532,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
23279,te,r2,0.7440365486384037,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
23279,te,rmse,0.08014254432862868,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
23279,te,spearmanr,0.8029299658363096,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
23279,te,y_avg_pred,0.7825551033020021,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
23279,te,y_avg_true,0.7805956237886361,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
23279,te,mcc,0.7270666571236113,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
31538,te,mean_absolute_error,0.05620919709176928,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
31538,te,median_absolute_error,0.04208333587646485,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
31538,te,mse,0.005995014906173318,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
31538,te,pearsonr,0.8726248246393389,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
31538,te,r2,0.7610857947686873,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
31538,te,rmse,0.07742748159518892,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
31538,te,spearmanr,0.8144316796982269,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
31538,te,y_avg_pred,0.7777103185653687,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
31538,te,y_avg_true,0.7805956237886361,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
31538,te,mcc,0.7303120503946612,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
42727,te,mean_absolute_error,0.05445517158613125,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
42727,te,median_absolute_error,0.04090740642547608,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
42727,te,mse,0.0056587785962974885,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
42727,te,pearsonr,0.8803713658056237,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
42727,te,r2,0.7744855330514351,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
42727,te,rmse,0.07522485358109704,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
42727,te,spearmanr,0.8207981455241372,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
42727,te,y_avg_pred,0.7829262018203735,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
42727,te,y_avg_true,0.7805956237886361,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
42727,te,mcc,0.752141331332126,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
57886,te,mean_absolute_error,0.052697366160552594,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
57886,te,median_absolute_error,0.039483577299118056,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
57886,te,mse,0.005318615347729827,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
57886,te,pearsonr,0.8883999169074221,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
57886,te,r2,0.7880417682655888,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
57886,te,rmse,0.07292883755915644,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
57886,te,spearmanr,0.8327694438113333,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
57886,te,y_avg_pred,0.7755956649780273,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
57886,te,y_avg_true,0.7805956237886361,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
57886,te,mcc,0.7536370640733492,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
78423,te,mean_absolute_error,0.050536020138316484,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
78423,te,median_absolute_error,0.036824803733825684,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
78423,te,mse,0.005132899830338206,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
78423,te,pearsonr,0.8923718735335693,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
78423,te,r2,0.7954429300527015,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
78423,te,rmse,0.07164425887911889,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
78423,te,spearmanr,0.8409947094621758,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
78423,te,y_avg_pred,0.7816653847694397,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
78423,te,y_avg_true,0.7805956237886361,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
78423,te,mcc,0.7730148231732509,200,0,1,lc.gdsc2.nn_reg1.ls_hpo
20000,te,mean_absolute_error,0.0592597326361767,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
20000,te,median_absolute_error,0.04437633237838745,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
20000,te,mse,0.0066418382136913725,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
20000,te,pearsonr,0.8593196028267168,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
20000,te,r2,0.7353084983216619,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
20000,te,rmse,0.08149747366447241,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
20000,te,spearmanr,0.7977677173376948,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
20000,te,y_avg_pred,0.7770226001739502,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
20000,te,y_avg_true,0.7805956237886361,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
20000,te,mcc,0.7165561904743083,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
27095,te,mean_absolute_error,0.0561006518731175,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
27095,te,median_absolute_error,0.041529007339477515,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
27095,te,mse,0.006179738976172643,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
27095,te,pearsonr,0.8705394202403,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
27095,te,r2,0.7537241442871286,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
27095,te,rmse,0.07861131582776518,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
27095,te,spearmanr,0.8082108252998235,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
27095,te,y_avg_pred,0.778764009475708,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
27095,te,y_avg_true,0.7805956237886361,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
27095,te,mcc,0.7461256393332829,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
36708,te,mean_absolute_error,0.056262873560283234,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
36708,te,median_absolute_error,0.04202356653213502,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
36708,te,mse,0.006062060680205228,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
36708,te,pearsonr,0.8743609261291512,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
36708,te,r2,0.7584138768389325,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
36708,te,rmse,0.07785923631917557,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
36708,te,spearmanr,0.8150307941628903,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
36708,te,y_avg_pred,0.7863473892211914,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
36708,te,y_avg_true,0.7805956237886361,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
36708,te,mcc,0.7443960008497585,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
49732,te,mean_absolute_error,0.05384091026939373,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
49732,te,median_absolute_error,0.040380915451049826,220,0,1,lc.gdsc2.nn_reg1.ls_hpo
