tr_size,set,metric,score,cnt,split,trial,exp
23279,te,mean_absolute_error,0.057841763426352076,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
23279,te,median_absolute_error,0.04302208118438722,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
23279,te,mse,0.006424035401934518,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
23279,te,pearsonr,0.8644646521885805,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
23279,te,r2,0.7439884076267166,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
23279,te,rmse,0.08015008048613873,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
23279,te,spearmanr,0.7980984042284581,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
23279,te,y_avg_pred,0.7737423181533813,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
23279,te,y_avg_true,0.7805956237886361,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
23279,te,mcc,0.7400003102648857,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
31538,te,mean_absolute_error,0.056255700030337065,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
31538,te,median_absolute_error,0.040946238327026374,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
31538,te,mse,0.006114686129608829,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
31538,te,pearsonr,0.8714608813493829,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
31538,te,r2,0.7563166397818144,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
31538,te,rmse,0.07819645854902145,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
31538,te,spearmanr,0.8059817429323599,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
31538,te,y_avg_pred,0.7850145101547241,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
31538,te,y_avg_true,0.7805956237886361,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
31538,te,mcc,0.7443953840343644,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
42727,te,mean_absolute_error,0.05386416322110223,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
42727,te,median_absolute_error,0.04002326221466068,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
42727,te,mse,0.005670694991646937,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
42727,te,pearsonr,0.8812467869909464,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
42727,te,r2,0.7740106391322883,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
42727,te,rmse,0.0753040171016589,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
42727,te,spearmanr,0.8217193770477604,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
42727,te,y_avg_pred,0.7785925865173341,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
42727,te,y_avg_true,0.7805956237886361,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
42727,te,mcc,0.7596199950382417,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
57886,te,mean_absolute_error,0.05366857026773461,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
57886,te,median_absolute_error,0.0400075965881348,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
57886,te,mse,0.005484075541313521,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
57886,te,pearsonr,0.8843172515422059,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
57886,te,r2,0.7814478245863562,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
57886,te,rmse,0.0740545443663893,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
57886,te,spearmanr,0.8245828278381537,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
57886,te,y_avg_pred,0.7814798951148987,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
57886,te,y_avg_true,0.7805956237886361,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
57886,te,mcc,0.7472267195092022,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
78423,te,mean_absolute_error,0.05166945439287805,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
78423,te,median_absolute_error,0.038189158916473336,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
78423,te,mse,0.005207930103063902,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
78423,te,pearsonr,0.8903634944763191,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
78423,te,r2,0.7924528127207013,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
78423,te,rmse,0.07216598993337445,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
78423,te,spearmanr,0.8319988915534791,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
78423,te,y_avg_pred,0.7823101282119751,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
78423,te,y_avg_true,0.7805956237886361,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
78423,te,mcc,0.7630067431859943,240,0,1,lc.gdsc2.nn_reg0.ls_hpo
20000,te,mean_absolute_error,0.059283478466972926,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
20000,te,median_absolute_error,0.04339300880432129,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
20000,te,mse,0.006811712093060777,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
20000,te,pearsonr,0.8567184366968774,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
20000,te,r2,0.7285386597951041,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
20000,te,rmse,0.08253309695546858,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
20000,te,spearmanr,0.7875225503253952,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
20000,te,y_avg_pred,0.7870148420333862,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
20000,te,y_avg_true,0.7805956237886361,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
20000,te,mcc,0.7179345965556868,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
27095,te,mean_absolute_error,0.0576052054154609,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
27095,te,median_absolute_error,0.04223650455474859,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
27095,te,mse,0.00634366373265172,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
27095,te,pearsonr,0.8671707897414714,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
27095,te,r2,0.7471913910705176,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
27095,te,rmse,0.07964712005246467,260,0,1,lc.gdsc2.nn_reg0.ls_hpo
