tr_size,set,metric,score,split
10,te,r2,-21.67532509570014,run_0
10,te,mean_absolute_error,0.5447610825950214,run_0
10,te,median_absolute_error,0.5805000063419341,run_0
10,te,mse,0.30975543010729617,run_0
10,te,rmse,0.5565567627001725,run_0
10,te,spearmanr,,run_0
10,te,pearsonr,,run_0
10,te,y_avg_true,0.8895460838955707,run_0
10,te,y_avg_pred,0.3453999936580657,run_0
10,te,mcc,0.0,run_0
109861,te,r2,0.5756766689216275,run_0
109861,te,mean_absolute_error,0.055805156960606166,run_0
109861,te,median_absolute_error,0.04310309953296598,run_0
109861,te,mse,0.005796452988789379,run_0
109861,te,rmse,0.07613444022772729,run_0
109861,te,spearmanr,0.6602191038176519,run_0
109861,te,pearsonr,0.7671223501069067,run_0
109861,te,y_avg_true,0.8895460838955707,run_0
109861,te,y_avg_pred,0.8897827635961529,run_0
109861,te,mcc,0.35194547465261816,run_0
11357,te,r2,0.4921817083626947,run_0
11357,te,mean_absolute_error,0.060645826330316024,run_0
11357,te,median_absolute_error,0.046523659411347514,run_0
11357,te,mse,0.006937032773668772,run_0
11357,te,rmse,0.08328885143684461,run_0
11357,te,spearmanr,0.6006631590546755,run_0
11357,te,pearsonr,0.7041402419766549,run_0
11357,te,y_avg_true,0.8895460838955707,run_0
11357,te,y_avg_pred,0.8883221433328379,run_0
11357,te,mcc,0.3325665554205894,run_0
1174,te,r2,0.21460180455147185,run_0
1174,te,mean_absolute_error,0.07876030593685589,run_0
1174,te,median_absolute_error,0.06378818732579294,run_0
1174,te,mse,0.010728902664455552,run_0
1174,te,rmse,0.10358041641379684,run_0
1174,te,spearmanr,0.3844247869512927,run_0
1174,te,pearsonr,0.4874016171738004,run_0
1174,te,y_avg_true,0.8895460838955707,run_0
1174,te,y_avg_pred,0.8739666344116077,run_0
1174,te,mcc,0.16289563662623222,run_0
12,te,r2,-21.565921023224053,run_0
12,te,mean_absolute_error,0.5433953116495105,run_0
12,te,median_absolute_error,0.579125007156531,run_0
12,te,mse,0.30826091986842225,run_0
12,te,rmse,0.555212499740795,run_0
12,te,spearmanr,,run_0
12,te,pearsonr,,run_0
12,te,y_avg_true,0.8895460838955707,run_0
12,te,y_avg_pred,0.34677499284346897,run_0
12,te,mcc,0.0,run_0
121,te,r2,-1.0065390387941902,run_0
121,te,mean_absolute_error,0.13906432263087373,run_0
121,te,median_absolute_error,0.12852868623675615,run_0
121,te,mse,0.02741025146786695,run_0
121,te,rmse,0.1655604163677627,run_0
121,te,spearmanr,0.20927443685266994,run_0
121,te,pearsonr,0.3281062760757471,run_0
121,te,y_avg_true,0.8895460838955707,run_0
121,te,y_avg_pred,0.7792936507657701,run_0
121,te,mcc,0.0,run_0
137848,te,r2,0.5762550169296707,run_0
137848,te,mean_absolute_error,0.05574910959341674,run_0
137848,te,median_absolute_error,0.04344138386001428,run_0
137848,te,mse,0.005788552487463509,run_0
137848,te,rmse,0.07608253733586642,run_0
137848,te,spearmanr,0.6615706198121426,run_0
137848,te,pearsonr,0.7674506407395828,run_0
137848,te,y_avg_true,0.8895460838955707,run_0
137848,te,y_avg_pred,0.8896896323934894,run_0
137848,te,mcc,0.37578422134611844,run_0
14250,te,r2,0.5062479635882821,run_0
14250,te,mean_absolute_error,0.05970850884516499,run_0
14250,te,median_absolute_error,0.04598335120538255,run_0
14250,te,mse,0.006744881220427007,run_0
14250,te,rmse,0.08212722581718566,run_0
14250,te,spearmanr,0.6117739128303865,run_0
14250,te,pearsonr,0.714809294331235,run_0
14250,te,y_avg_true,0.8895460838955707,run_0
14250,te,y_avg_pred,0.8889009416948522,run_0
14250,te,mcc,0.33323811119904007,run_0
1473,te,r2,0.2561304515508054,run_0
1473,te,mean_absolute_error,0.07549458208628275,run_0
1473,te,median_absolute_error,0.059706273434741663,run_0
1473,te,mse,0.0101616021358518,run_0
1473,te,rmse,0.10080477238629032,run_0
1473,te,spearmanr,0.41842524764655575,run_0
1473,te,pearsonr,0.5263099605634854,run_0
1473,te,y_avg_true,0.8895460838955707,run_0
1473,te,y_avg_pred,0.8770513485351827,run_0
1473,te,mcc,0.18196733641460885,run_0
15,te,r2,-21.035345935735762,run_0
15,te,mean_absolute_error,0.5367237918911382,run_0
15,te,median_absolute_error,0.5724066711107889,run_0
15,te,mse,0.3010130187364416,run_0
15,te,rmse,0.5486465335135561,run_0
15,te,spearmanr,,run_0
15,te,pearsonr,,run_0
15,te,y_avg_true,0.8895460838955707,run_0
15,te,y_avg_pred,0.35349332888921114,run_0
15,te,mcc,0.0,run_0
152,te,r2,-0.7398283774849499,run_0
152,te,mean_absolute_error,0.12752007974978033,run_0
152,te,median_absolute_error,0.11328759474646274,run_0
152,te,mse,0.023766860457622458,run_0
152,te,rmse,0.1541650429170714,run_0
152,te,spearmanr,0.22944544177312245,run_0
152,te,pearsonr,0.3161731685289774,run_0
152,te,y_avg_true,0.8895460838955707,run_0
152,te,y_avg_pred,0.7967134476225062,run_0
152,te,mcc,0.07515336118953071,run_0
172965,te,r2,0.5792598656125592,run_0
172965,te,mean_absolute_error,0.05555968124941872,run_0
172965,te,median_absolute_error,0.043086596700447455,run_0
172965,te,mse,0.005747504864452717,run_0
172965,te,rmse,0.07581230021871595,run_0
172965,te,spearmanr,0.6639600164385023,run_0
172965,te,pearsonr,0.7696786201360111,run_0
172965,te,y_avg_true,0.8895460838955707,run_0
172965,te,y_avg_pred,0.8897244775330058,run_0
172965,te,mcc,0.38727040425320436,run_0
17880,te,r2,0.5199667765695386,run_0
17880,te,mean_absolute_error,0.05896096891053323,run_0
17880,te,median_absolute_error,0.045235288053547706,run_0
17880,te,mse,0.006557475888964899,run_0
17880,te,rmse,0.08097824330624183,run_0
17880,te,spearmanr,0.6210332710620036,run_0
17880,te,pearsonr,0.7250641147533471,run_0
17880,te,y_avg_true,0.8895460838955707,run_0
17880,te,y_avg_pred,0.8892249029055126,run_0
17880,te,mcc,0.3221699404042889,run_0
1848,te,r2,0.2670135884306162,run_0
1848,te,mean_absolute_error,0.0756931132355693,run_0
1848,te,median_absolute_error,0.060926427915237835,run_0
1848,te,mse,0.010012933451681022,run_0
1848,te,rmse,0.1000646463626441,run_0
1848,te,spearmanr,0.4210508133497837,run_0
1848,te,pearsonr,0.5307760949612956,run_0
1848,te,y_avg_true,0.8895460838955707,run_0
1848,te,y_avg_pred,0.8765194018729168,run_0
1848,te,mcc,0.14539907020407525,run_0
19,te,r2,-22.00107906427936,run_0
19,te,mean_absolute_error,0.5488079658501428,run_0
19,te,median_absolute_error,0.5845736872007972,run_0
19,te,mse,0.3142053800074874,run_0
19,te,rmse,0.5605402572585553,run_0
19,te,spearmanr,,run_0
19,te,pearsonr,,run_0
