tr_size,set,metric,score,split
100000,te,r2,0.7478332994090948,run_0
100000,te,mean_absolute_error,0.04068978887377378,run_0
100000,te,median_absolute_error,0.029134971693384637,run_0
100000,te,mse,0.003444713778991659,run_0
100000,te,rmse,0.058691684070161586,run_0
100000,te,spearmanr,0.8072373567744302,run_0
100000,te,pearsonr,0.8658092441869079,run_0
100000,te,y_avg_true,0.8895460838955707,run_0
100000,te,y_avg_pred,0.8889820915766636,run_0
100000,te,mcc,0.4841655306876236,run_0
123635,te,r2,0.7612693465905008,run_0
123635,te,mean_absolute_error,0.039324180931425916,run_0
123635,te,median_absolute_error,0.028085212047100683,run_0
123635,te,mse,0.003261171159159162,run_0
123635,te,rmse,0.057106664752541475,run_0
123635,te,spearmanr,0.8189320443457895,run_0
123635,te,pearsonr,0.8731609817352445,run_0
123635,te,y_avg_true,0.8895460838955707,run_0
123635,te,y_avg_pred,0.8890048189024046,run_0
123635,te,mcc,0.4729521906280919,run_0
152858,te,r2,0.7760635316660841,run_0
152858,te,mean_absolute_error,0.038058023380787315,run_0
152858,te,median_absolute_error,0.026920198742729,run_0
152858,te,mse,0.003059075747435904,run_0
152858,te,rmse,0.05530891200734204,run_0
152858,te,spearmanr,0.8289950658042843,run_0
152858,te,pearsonr,0.8815917481375094,run_0
152858,te,y_avg_true,0.8895460838955707,run_0
152858,te,y_avg_pred,0.8889154190044097,run_0
152858,te,mcc,0.48764071593784286,run_0
188988,te,r2,0.7855019265486459,run_0
188988,te,mean_absolute_error,0.03695863752687345,run_0
188988,te,median_absolute_error,0.026244228702339445,run_0
188988,te,mse,0.002930142907265737,run_0
188988,te,rmse,0.054130794445174525,run_0
188988,te,spearmanr,0.8371862282808005,run_0
188988,te,pearsonr,0.8868181232217213,run_0
188988,te,y_avg_true,0.8895460838955707,run_0
188988,te,y_avg_pred,0.8890537976438913,run_0
188988,te,mcc,0.5069768632154624,run_0
233657,te,r2,0.7958889784527393,run_0
233657,te,mean_absolute_error,0.03609642429181348,run_0
233657,te,median_absolute_error,0.025642260671629,run_0
233657,te,mse,0.0027882509733454905,run_0
233657,te,rmse,0.052803891649626455,run_0
233657,te,spearmanr,0.8429430601033134,run_0
233657,te,pearsonr,0.8927512008525121,run_0
233657,te,y_avg_true,0.8895460838955707,run_0
233657,te,y_avg_pred,0.8891399353418085,run_0
233657,te,mcc,0.520212163596155,run_0
288884,te,r2,0.8065719971747402,run_0
288884,te,mean_absolute_error,0.034955625041089976,run_0
288884,te,median_absolute_error,0.024674398015411825,run_0
288884,te,mse,0.0026423159957823608,run_0
288884,te,rmse,0.05140346287734281,run_0
288884,te,spearmanr,0.8522117672556632,run_0
288884,te,pearsonr,0.8986741423574408,run_0
288884,te,y_avg_true,0.8895460838955707,run_0
288884,te,y_avg_pred,0.8892042417819791,run_0
288884,te,mcc,0.5161324473417067,run_0
357164,te,r2,0.8122480480128021,run_0
357164,te,mean_absolute_error,0.03429714826556088,run_0
357164,te,median_absolute_error,0.024126616493805653,run_0
357164,te,mse,0.002564778515669753,run_0
357164,te,rmse,0.050643642401290136,run_0
357164,te,spearmanr,0.8571318032991961,run_0
357164,te,pearsonr,0.9017153967756041,run_0
357164,te,y_avg_true,0.8895460838955707,run_0
357164,te,y_avg_pred,0.88938616236452,run_0
357164,te,mcc,0.5332751793125143,run_0
441584,te,r2,0.8203367270914399,run_0
441584,te,mean_absolute_error,0.033492636254981785,run_0
441584,te,median_absolute_error,0.023503686031170482,run_0
441584,te,mse,0.0024542834177415447,run_0
441584,te,rmse,0.0495407248406959,run_0
441584,te,spearmanr,0.8632244537502941,run_0
441584,te,pearsonr,0.9062088784115536,run_0
441584,te,y_avg_true,0.8895460838955707,run_0
441584,te,y_avg_pred,0.8894943697484481,run_0
441584,te,mcc,0.555253432753244,run_0
545956,te,r2,0.8246196316194917,run_0
545956,te,mean_absolute_error,0.03310647484964674,run_0
545956,te,median_absolute_error,0.02323032337252906,run_0
545956,te,mse,0.002395776960674399,run_0
545956,te,rmse,0.04894667466411175,run_0
545956,te,spearmanr,0.8657699458576116,run_0
545956,te,pearsonr,0.9086027477479641,run_0
545956,te,y_avg_true,0.8895460838955707,run_0
545956,te,y_avg_pred,0.8895586746645053,run_0
545956,te,mcc,0.5751482614201051,run_0
674999,te,r2,0.8290698692047049,run_0
674999,te,mean_absolute_error,0.03254964897607668,run_0
674999,te,median_absolute_error,0.02277435318582721,run_0
674999,te,mse,0.0023349846566404053,run_0
674999,te,rmse,0.04832167895096781,run_0
674999,te,spearmanr,0.8694633783199619,run_0
674999,te,pearsonr,0.9109758438974366,run_0
674999,te,y_avg_true,0.8895460838955707,run_0
674999,te,y_avg_pred,0.8896016033919603,run_0
674999,te,mcc,0.5804816177186416,run_0
100000,te,r2,0.7432526194100334,run_1
100000,te,mean_absolute_error,0.04038824216970687,run_1
100000,te,median_absolute_error,0.028868858624557906,run_1
100000,te,mse,0.0034521495573273378,run_1
100000,te,rmse,0.058754996020145715,run_1
100000,te,spearmanr,0.8084590000976895,run_1
100000,te,pearsonr,0.8628638326216896,run_1
100000,te,y_avg_true,0.8900560361609642,run_1
100000,te,y_avg_pred,0.8891417433084138,run_1
100000,te,mcc,0.4708904018508497,run_1
123635,te,r2,0.7573341104013327,run_1
123635,te,mean_absolute_error,0.0390012524007496,run_1
123635,te,median_absolute_error,0.027587873184958256,run_1
123635,te,mse,0.003262813982489452,run_1
123635,te,rmse,0.057121046755897714,run_1
123635,te,spearmanr,0.8191873038520936,run_1
123635,te,pearsonr,0.8708778804073589,run_1
123635,te,y_avg_true,0.8900560361609642,run_1
123635,te,y_avg_pred,0.8893456470143842,run_1
123635,te,mcc,0.4735577802005947,run_1
152858,te,r2,0.77142060822396,run_1
152858,te,mean_absolute_error,0.03776017315337227,run_1
152858,te,median_absolute_error,0.026893281505864564,run_1
152858,te,mse,0.0030734110872741877,run_1
152858,te,rmse,0.05543835393727151,run_1
152858,te,spearmanr,0.8291540490818127,run_1
152858,te,pearsonr,0.8789042580809808,run_1
152858,te,y_avg_true,0.8900560361609642,run_1
152858,te,y_avg_pred,0.8893505845075036,run_1
152858,te,mcc,0.4894818230574902,run_1
188988,te,r2,0.7810320713986556,run_1
188988,te,mean_absolute_error,0.036838185369917925,run_1
188988,te,median_absolute_error,0.026169781655324357,run_1
188988,te,mse,0.0029441781881203565,run_1
188988,te,rmse,0.05426028186547096,run_1
188988,te,spearmanr,0.8361204966092421,run_1
188988,te,pearsonr,0.8843333346527277,run_1
188988,te,y_avg_true,0.8900560361609642,run_1
188988,te,y_avg_pred,0.8894905032107252,run_1
188988,te,mcc,0.4953584313469889,run_1
233657,te,r2,0.7905406497786126,run_1
233657,te,mean_absolute_error,0.03574131566470661,run_1
233657,te,median_absolute_error,0.02509275944440792,run_1
233657,te,mse,0.002816328647572936,run_1
233657,te,rmse,0.05306909314820573,run_1
233657,te,spearmanr,0.8451508664459748,run_1
233657,te,pearsonr,0.8894332409782755,run_1
233657,te,y_avg_true,0.8900560361609642,run_1
233657,te,y_avg_pred,0.889368877150348,run_1
233657,te,mcc,0.5011389305062102,run_1
288884,te,r2,0.7982852878646051,run_1
288884,te,mean_absolute_error,0.03507787102395527,run_1
288884,te,median_absolute_error,0.02460599733736135,run_1
288884,te,mse,0.0027121965279821372,run_1
288884,te,rmse,0.052078753133904206,run_1
288884,te,spearmanr,0.8507223765978433,run_1
288884,te,pearsonr,0.8939004415002829,run_1
288884,te,y_avg_true,0.8900560361609642,run_1
288884,te,y_avg_pred,0.8896711669510102,run_1
288884,te,mcc,0.5061429052306344,run_1
357164,te,r2,0.8070481260785776,run_1
357164,te,mean_absolute_error,0.03403782876498932,run_1
357164,te,median_absolute_error,0.023831999492514026,run_1
357164,te,mse,0.0025943739897666142,run_1
357164,te,rmse,0.050934997690847236,run_1
357164,te,spearmanr,0.8586349594884531,run_1
357164,te,pearsonr,0.8986719657166818,run_1
357164,te,y_avg_true,0.8900560361609642,run_1
357164,te,y_avg_pred,0.8896775861665558,run_1
357164,te,mcc,0.5243253964570576,run_1
441584,te,r2,0.8136527544426092,run_1
441584,te,mean_absolute_error,0.033465791763594335,run_1
441584,te,median_absolute_error,0.02334948588764235,run_1
441584,te,mse,0.002505570104676093,run_1
441584,te,rmse,0.050055670055210465,run_1
441584,te,spearmanr,0.8627140985684915,run_1
441584,te,pearsonr,0.9023725493216844,run_1
441584,te,y_avg_true,0.8900560361609642,run_1
441584,te,y_avg_pred,0.8897867476861406,run_1
441584,te,mcc,0.5268911371358699,run_1
545956,te,r2,0.817664648822563,run_1
545956,te,mean_absolute_error,0.03311026793146096,run_1
545956,te,median_absolute_error,0.023293138402008973,run_1
545956,te,mse,0.0024516273560646878,run_1
545956,te,rmse,0.04951391073289089,run_1
545956,te,spearmanr,0.8654111564318708,run_1
545956,te,pearsonr,0.9047007539328772,run_1
545956,te,y_avg_true,0.8900560361609642,run_1
545956,te,y_avg_pred,0.8899199996171395,run_1
545956,te,mcc,0.5285180113277596,run_1
674999,te,r2,0.8222384420542574,run_1
674999,te,mean_absolute_error,0.032504633934778114,run_1
674999,te,median_absolute_error,0.022685979859809025,run_1
674999,te,mse,0.0023901294812126877,run_1
674999,te,rmse,0.04888895050226265,run_1
674999,te,spearmanr,0.8698910245452933,run_1
674999,te,pearsonr,0.907107262824952,run_1
674999,te,y_avg_true,0.8900560361609642,run_1
674999,te,y_avg_pred,0.8899698485538755,run_1
674999,te,mcc,0.5361321005885428,run_1
100000,te,r2,0.7423906570863491,run_10
100000,te,mean_absolute_error,0.04091356695265872,run_10
100000,te,median_absolute_error,0.029347231984525823,run_10
100000,te,mse,0.0034972492217840824,run_10
100000,te,rmse,0.059137544942143835,run_10
100000,te,spearmanr,0.8058001659157585,run_10
100000,te,pearsonr,0.8623196578777259,run_10
100000,te,y_avg_true,0.8898452678738099,run_10
100000,te,y_avg_pred,0.8886955126724972,run_10
100000,te,mcc,0.4682166535780237,run_10
123635,te,r2,0.7571850348353006,run_10
123635,te,mean_absolute_error,0.03950089893131429,run_10
123635,te,median_absolute_error,0.028215656895602462,run_10
123635,te,mse,0.0032964039205845693,run_10
123635,te,rmse,0.05741431807994039,run_10
123635,te,spearmanr,0.8166851792974247,run_10
123635,te,pearsonr,0.8708641519759386,run_10
123635,te,y_avg_true,0.8898452678738099,run_10
123635,te,y_avg_pred,0.8887151529070433,run_10
123635,te,mcc,0.4511034418582643,run_10
152858,te,r2,0.7704453597644414,run_10
152858,te,mean_absolute_error,0.038334384054236746,run_10
152858,te,median_absolute_error,0.027543705109211003,run_10
152858,te,mse,0.00311638459164825,run_10
152858,te,rmse,0.05582458769796917,run_10
152858,te,spearmanr,0.8257451212941598,run_10
152858,te,pearsonr,0.8786336267481026,run_10
152858,te,y_avg_true,0.8898452678738099,run_10
152858,te,y_avg_pred,0.8890548993825539,run_10
152858,te,mcc,0.4799240523100286,run_10
188988,te,r2,0.7813742800432522,run_10
188988,te,mean_absolute_error,0.037096224087434654,run_10
188988,te,median_absolute_error,0.026301236196150882,run_10
188988,te,mse,0.002968015912516833,run_10
188988,te,rmse,0.05447949992902682,run_10
188988,te,spearmanr,0.8358404382669047,run_10
188988,te,pearsonr,0.8845222700079939,run_10
188988,te,y_avg_true,0.8898452678738099,run_10
188988,te,y_avg_pred,0.8891391862230235,run_10
188988,te,mcc,0.5059106988849532,run_10
233657,te,r2,0.7924106992158733,run_10
233657,te,mean_absolute_error,0.03617717782022983,run_10
233657,te,median_absolute_error,0.025895811784911515,run_10
233657,te,mse,0.0028181878514450353,run_10
233657,te,rmse,0.05308660708168337,run_10
233657,te,spearmanr,0.8423591541052426,run_10
233657,te,pearsonr,0.8906907321912224,run_10
233657,te,y_avg_true,0.8898452678738099,run_10
233657,te,y_avg_pred,0.8891342277537281,run_10
233657,te,mcc,0.5219110970413958,run_10
288884,te,r2,0.7999209688312823,run_10
288884,te,mean_absolute_error,0.03528106046042348,run_10
288884,te,median_absolute_error,0.025052740797108286,run_10
288884,te,mse,0.002716230040944808,run_10
288884,te,rmse,0.052117463876754484,run_10
288884,te,spearmanr,0.8490430278272143,run_10
288884,te,pearsonr,0.8947829852724367,run_10
288884,te,y_avg_true,0.8898452678738099,run_10
288884,te,y_avg_pred,0.8891935671400193,run_10
288884,te,mcc,0.511170386804952,run_10
357164,te,r2,0.8074875651048149,run_10
357164,te,mean_absolute_error,0.03478125123027047,run_10
357164,te,median_absolute_error,0.024811943385978363,run_10
357164,te,mse,0.0026135075518073075,run_10
357164,te,rmse,0.05112247599449099,run_10
357164,te,spearmanr,0.8526693581826724,run_10
357164,te,pearsonr,0.8991280110948842,run_10
357164,te,y_avg_true,0.8898452678738099,run_10
357164,te,y_avg_pred,0.8893405983084541,run_10
357164,te,mcc,0.5382014242663485,run_10
441584,te,r2,0.8156588107264926,run_10
441584,te,mean_absolute_error,0.03367477458741632,run_10
441584,te,median_absolute_error,0.023710151016678286,run_10
441584,te,mse,0.002502576472723744,run_10
441584,te,rmse,0.050025758092444174,run_10
441584,te,spearmanr,0.8598805267458747,run_10
441584,te,pearsonr,0.9034292923866744,run_10
441584,te,y_avg_true,0.8898452678738099,run_10
441584,te,y_avg_pred,0.8894774562473386,run_10
441584,te,mcc,0.553678117711935,run_10
545956,te,r2,0.8209686347150413,run_10
