tr_size,set,metric,score,cnt,split,trial,exp
625000,tr,mean_absolute_error,0.026432300153295514,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,tr,median_absolute_error,0.019510328054428098,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,tr,mse,0.0014873259128047474,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,tr,pearsonr,0.944296639946734,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,tr,r2,0.8913674773906113,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,tr,rmse,0.03856586460595364,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,tr,spearmanr,0.9005217190049795,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,tr,y_avg_pred,0.8875918984413147,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,tr,y_avg_true,0.8896114969600001,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,vl,mean_absolute_error,0.0320334250484175,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,vl,median_absolute_error,0.021909124565124505,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,vl,mse,0.0023447272721856213,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,vl,pearsonr,0.9116059099617648,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,vl,r2,0.8306676389153825,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,vl,rmse,0.04842238399940281,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,vl,spearmanr,0.8713793090296386,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,vl,y_avg_pred,0.8884753584861755,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,vl,y_avg_true,0.8899160697618604,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,te,mean_absolute_error,0.03224889187744647,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,te,median_absolute_error,0.021960717010498062,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
625000,te,mse,0.002368850717856448,0,0,1,lc.nci60.nn_reg1.random.ls_hpo
