n_pnts,0,mae,rmse,alpha,beta,gamma
3,32768,0.0,0.0,7.502377933155205,-0.7611529867097618,0.06840994766538405
4,16384,3.881125367730803e-06,4.153059157299825e-06,3.995499667569953,-0.6947155342571549,0.06823322497188813
7,2048,2.7506646590170847e-05,3.5219099350084437e-05,1.2157138364441917,-0.5616877105145788,0.06765477204433311
6,4096,3.211409541521252e-05,3.8625585652733215e-05,1.2226442426238096,-0.5623752165441245,0.067659344030903
5,8192,3.725903686399301e-05,4.351587925830784e-05,1.4091200716280954,-0.5789462245784314,0.0677551119139306
8,1024,3.959250889588872e-05,4.758005278684974e-05,1.170658331169888,-0.556962177956805,0.06761965078084098
9,512,0.0002716722643654483,0.0004754311088049692,0.9501540241028633,-0.5298888539608909,0.067385902662028
10,256,0.0007123337927686726,0.0013441199746304369,0.7226889856789331,-0.49304481962168745,0.06699775545074088
11,128,0.0014134650865044187,0.002864146619784676,0.5466312835310478,-0.45407567636210006,0.06648861231360999
12,64,0.0025888335455314057,0.005055396783004967,0.42837451229557205,-0.41887295546199227,0.06592178944729588
13,32,0.004032812076223413,0.008322827303077884,0.3469906635041539,-0.38745733861481035,0.06530877070711107
14,16,0.0063897709076535655,0.013217780011859586,0.28798498430345976,-0.3588017223683638,0.0646405099488271
15,8,0.009198456244236609,0.019030336294613,0.2489930303035651,-0.33576160142638667,0.06401007799690313
