n_pnts,fit_mae,fit_rmse,extrp_mae,extrp_rmse,alpha,beta,gamma
3,0.0,0.0,0.0,0.0,0.6457606043844188,-0.5007031818130055,0.05158829016584026
7,3.8024176980790734e-05,4.96092350242074e-05,1.378489312295339e-06,1.378489312295339e-06,2.6943004353065048,-0.6420274631698738,0.0519520272547853
5,2.0138167614802693e-05,2.4148477170663445e-05,1.9627096136190514e-06,1.9627096136190514e-06,2.9414366377845504,-0.6517522060067706,0.051987114351143685
6,2.0274753874921503e-05,2.397890161973108e-05,2.970826928259951e-06,2.970826928259951e-06,3.1159677549170537,-0.6577975079083838,0.052004356072623256
4,1.4112205071865891e-05,1.5491936145939875e-05,5.997056390268096e-06,5.997056390268096e-06,4.6909735311367236,-0.6989883068342221,0.052096785049769195
8,9.287443159403802e-05,0.0001401308859897617,1.0243926047058538e-05,1.0243926047058538e-05,2.2187485765444817,-0.6201986315272807,0.05186507589850428
9,0.00027204718996853296,0.0004446066747408091,2.7471761787356552e-05,2.7471761787356552e-05,1.6951677493590334,-0.5888520332321645,0.051713238990946764
10,0.0007929982774565129,0.0014508953070077565,6.0490208138086476e-05,6.0490208138086476e-05,1.1378591588275235,-0.5408460909309343,0.05142132269740189
11,0.0014452745835652494,0.0027760571086984896,9.5969508457458e-05,9.5969508457458e-05,0.7993806864152226,-0.49700152938881303,0.05108255131523295
12,0.0024895908956859935,0.0048949483599281,0.00013249329968021556,0.00013249329968021556,0.5838454890846919,-0.456888249757563,0.050696044032400245
13,0.0037520929927220004,0.007617072989543879,0.00016491484082990088,0.00016491484082990088,0.4548794477965427,-0.42420816124974337,0.050312807658460294
