n_pnts,0,mae,rmse,alpha,beta,gamma
3,65536,0.0,0.0,0.6457606043844188,-0.5007031818130055,0.05158829016584026
4,32768,1.4112205071865891e-05,1.5491936145939875e-05,4.6909735311367236,-0.6989883068342221,0.052096785049769195
5,16384,2.0138167614802693e-05,2.4148477170663445e-05,2.9414366377845504,-0.6517522060067706,0.051987114351143685
6,8192,2.0274753874921503e-05,2.397890161973108e-05,3.1159677549170537,-0.6577975079083838,0.052004356072623256
7,4096,3.8024176980790734e-05,4.96092350242074e-05,2.6943004353065048,-0.6420274631698738,0.0519520272547853
8,2048,9.287443159403802e-05,0.0001401308859897617,2.2187485765444817,-0.6201986315272807,0.05186507589850428
9,1024,0.00027204718996853296,0.0004446066747408091,1.6951677493590334,-0.5888520332321645,0.051713238990946764
10,512,0.0007929982774565129,0.0014508953070077565,1.1378591588275235,-0.5408460909309343,0.05142132269740189
11,256,0.0014452745835652494,0.0027760571086984896,0.7993806864152226,-0.49700152938881303,0.05108255131523295
12,128,0.0024895908956859935,0.0048949483599281,0.5838454890846919,-0.456888249757563,0.050696044032400245
13,64,0.0037520929927220004,0.007617072989543879,0.4548794477965427,-0.42420816124974337,0.050312807658460294
14,32,0.005344813932821839,0.010203925073632655,0.387186680327488,-0.40262442170768364,0.050016904552739286
15,16,0.007640809836055795,0.01539344445432117,0.331312167126294,-0.38131643394485243,0.04968428805654711
16,8,0.010644234512371332,0.022160100754967663,0.29100953743553126,-0.36325353331345095,0.04936665827737553
